s1,beginning_description,following_from_self,following_from_others
1.3,女 老公经常打骂我。这婚该不该离？。？？？？？？？？,没有刚结婚 // 接受 // 不好 // 嫌弃我 // 相亲 // 不晓得 // 嗯 // 好的 // 结婚前结婚后俩个人 // 对。男孩找我退礼金钱 // 额 // 八万 // 结婚三月打了我俩次 // 可能就是礼金,结婚多久了 // 先去沟通，实在不行，再说 // 有孩子吗 // 是不是到了离婚的地步 只有自己清楚  你能接受现在他做的一切吗 // 你们夫妻感情不好吧？ // 为什么打人？ // 点击我私聊咨询 // 怎么走到一起的 // 不喜欢你为什么跟你结婚呢 // 像在寻求支持你离婚的人。 // 如果相处家暴 及早考虑分开 // 嫌弃你什么？结婚之前就嫌弃吗 // 你心里已经有选择。但是这个选择你m****u信心执行它 // 为什么家暴呢？嫌弃你什么？ // 所以你真实的目的不是来让我们帮你选择而是要我们一起和你面对选择的后果。 // 私聊吧 // 亲，礼金是多钱呢？ // 勇敢的为自己人生负责人 // 刚结婚就有家暴，这个婚，为什么要维持呢？ // 有家暴的现象，不会只一个人的原因，需要了解你更多信息，分析原由，才能做出正确决定，关注诚私聊 // 结婚了。如果离婚礼金可以酌情退点或者不退。 // 注意收集家暴证据 // 如到医院就诊包扎 报警。等 // 家暴问题不可小觑 // 一定注意保护自己。 这个可能是常事。 // 为什么会婚前婚后判若两人呢？发生了什么？
1.3,"女,25岁,对于知道父亲出轨的女儿来说怎么能心理好受一点",是啊，有时候并不想理会我的父亲 // 母亲和父亲之间也只剩下亲情，可以不是那么在乎，可是我却不能不在乎 // 对啊 // 如何我才能心情好受一些也不那么在意呢？ // 谢谢大家,你很难受 // 好受，应该比较难 // 学会调整 // 难受是正常的 // 爸爸的形象破灭了 // 理解的。你希望得到怎样帮助？可以点关注，图文咨询 // 女儿甚至对男人是否定的 不信任的  是吗 // 点击头像关注 电话详聊吧 // 调整好自己和父母之间的距离，远离一些，你的感受会舒服些
1.3,"男,我对我老婆不放心在家里装了一个摄像头我这样对吗。",对吗？ // 应为她出过轨 // 装了摄像头我又发现她和别人电话文爱 // 这是什么意思 // 我应该怎么去做 // 没有问题 // 天天在一起 // 对我也挺好的 // 她就是喜欢在网上瞎聊 // 结婚5年了 // 我也不知道 // 知道她的一举一动 // 该怎么做,你们结婚多久了？ // 为什么对她不放心？ // 亲，你的感觉呢 // 这么做有点鲁莽 // 你的不放心是你自己的内心出了状况， // 她知道你在家装了摄像头吗？ // 为什么不放心老婆呢？ // 可以通过心理咨询来调整你的心理 // 这样可以解决问题吗？ // 她现在对你怎样？ // 你认为老婆在家出轨的可能性大吗？ // 折射出你的不自信，没有安全感。 // 你们的关系出现问题了 // 让他爱你也把他的心收回来。 // 好好经营婚姻，让她感受你的爱，这是解决问题的根本 // 亲，如果发现了什么，你有什么打算呢 // 你的心里没有安全感 // 这样做的目的是什么呢 // 然后呢 // 亲，感觉你很焦虑，点击我头像电话详谈吧 // 我们这样做肯定会对对方有对感情伤害的。 // 你的不信任会让关系破裂 // 通过具体咨询来成长和调整自己的心理， // 继续这样做伤人伤己 // 需要详细处理你心里不信任的感觉 // 亲，私聊你了 // 帅哥，方便的话可以关注我，我们进一步详细的交流 // 如果你们的关系得不到改善，即使你天天看着她，你觉得有用吗？ // 你需要做个人的成长
1.3,女 高三学生，对爸妈失望，情绪低落，不想学习，经常哭,我爸爸比较专制，不理解我 // 我妈妈太过于注重我的学习， // 是的 // 我觉得主要因为我妈妈，从小她就不怎么带给我欢乐，压制我的快乐情绪，死板，并且一点都感觉不到我的情绪变化 // 我小时候喜欢我爸爸，但高中时我表现不好，让他失望，他对我特别冷淡， // 整个家庭都是压抑死板的 // 我并不是特别看中高考成绩，如果没有他们那么迫切的压力催促，我可以学得更轻松更好，可是现在这种情况，我一点都学不进去，生活没有希望 // 我以前给他们说过，有一段时间没有干涉我，我学习状态很好，但现在又来了，我已经懒得跟他们交流了 // 我现在想再让他们失望一点，觉得我不是可塑之才，这样就不会再干涉我了 // 真的特别希望能像普通学生一样，成绩不是很好，爸妈也已经接受，家庭氛围融洽，平凡一点生活 // 为什么，我现在也很难过，学不进去 // 恩是的,对爸妈失望，你对自己是怎么样的态度呢？ // 对爸妈很失望，可以多谈一些吗 // 对爸妈失望？ // 没有人理解你的心需要什么对吗 // 在父母面前你的自我得到压制，感受不到他们的理解，是吗？ // 深入了解爸妈这样行为的背后原因，你才会理解，并与他们和解 // 你和父母沟通过你的想法吗 // 你希望他们怎样对待你？ // 把自己的感受和期待告诉他们 // 一个家庭家长的错误理念和生活观念把孩子直接带到了另一个极端，真是很理解你及当下孩子们的感受。 // 如果你换位思考，你可以感受到到他们此时的焦虑情绪 // 快乐是生活的本源…可是他们加入他们太多的欲望…才会如此！ // 他们的行为是变相转嫁他们的焦虑，只是他们自己不明白这些 // 你的这个想法和要求一点太过分 // 身体最重要
1.3,男 情感问题，总是怀疑对方彼此不信任，导致婚姻危机。,老婆经常的聊天 // 可是自己总是控制不住 // 我很爱我的妻子，,那就信任 // 学会 // 点击头像关注我，图文咨询。 // 那怎么办 // 帅哥，你多大了 // 你跟老婆交流多吗？ // 你感受不到他的心是和你在一起的，你不能确定，所以不能信任他，是吗？
1.3,"男,请问如何来挽救自己的婚姻。老婆打死都要跟我离婚。",请问能挽回吗？ // 应该把她伤得太深了。,你们的矛盾是什么？ // 你怎么伤的她？ // 帅哥
1.3,女 你好。我想咨询一下夫妻情感方面。我最近有一些烦恼,我的老公是一个很乖的人。我一直很信任他 // 但是我有一次去公园散步'，发现我老公在男厕所偷偷抽烟。我知道对于很多人抽烟是一件很小的事情'，但是对于我来说我觉得我老公在我心中的美好形象没有了。我看到他在厕所抽烟的场景我觉得非常震惊，我当时整个人是发抖的。他虽然不是乖乖男，但是他一直都是有思想的男人，我觉得他应该能分清对错。而且最近老公开始打我。我觉得跟我也有一定的关系，可能我太不温柔,遇到什么事情了？ // 发生什么事了吗 // 你想咨询的是什么困扰呢 // 你对老公的要求完美化，老公是怎么看的？ // 乖这个词用在老公身上，有意思 // 你是否向对待小朋友一样要求他？ // 他以前抽烟吗？ // 你是什么职业？ // 是不是你对老公有了感情上的担心，也就是外遇 // 你对自己的位置有了担心 // 美女
1.3,男 夫妻冷战2个月了，先吵，后分居，求她，也不给台阶。,,冷战的原因是什么 // 选择性的坚持你自己，别低头，小事情第一步先让步，第二步承认错误，第三步好好表现，第四步好好干几炮，一切搞定
1.3,男 父母把我当成家长让我很累，学业生活都遭受到严重影响,谢谢你的理解，这么多年了，我要哄着他们，从侧面教他们如何做事，如何处理人际关系，还要给他们绝对的尊重，付出一切的精力情感，如果不给的话就各种要挟，我尝试让他们独立，却发现这样又会更累，因为我要一辈子承担做他们父母的角色，像养孩子那样，我作为他们的孩子，没有从他们哪里得到任何东西，任何做孩子的感觉，好不容易这些年通过与别人交往弥补了一些，却要弥补他们父母对他们的错误，承担我不应该承担的角色，也就是他们生命中缺少过的角色，我娶了媳妇，也被他们排挤，媳妇天天哭，没办法离婚了，也许我可以做好这些，但是我真的没有精力了 // 唉，不知道啊，我们家所有的女人都生活在水深火热之中，所有的男人都有问题，好不容易我离开家比较早，没有他们的问题，回到家，既要承担这些女人的情感需要，还要教这些男人成长，最最让人长期受不了的就是我还得给他们足够的尊重，所以既要把她当孩子养，又要当老人去让他显得有威严，每天成了垃圾桶，把好的情感奉献出去，还的接受他们的压制，给他们足够的面子，如果表现出无力或者拒绝，要么就是斥责强迫，要么就是要挟，他们把自己得不到的，改变不了的，这些角色都强加在我身上，现在局面有些控制不了了，男人们已经认定他们的孩子角色，女人们也认定我要承担他们得不到的要从我身上得到的的责任，我想解决这一切只有做出令人失望抉择，那就是我将失去家庭和亲人，我所失的也无处去找寻，好恐怖，我怀疑不经意间我要被同化，我不想重复这个悲剧 // 如果这种事发生的晚两年，说什么我也不会放弃自己的底线，即使他们说我心狠，如果不是这种角色的矛盾，没有那么多的情感位置矛盾，也许即使承担也不会这么累，但一切都已经发生，而且已经到了这个地步，真心累了，大病一场花了不少钱，有他们的资助，每天用钱来要挟着我，怨恨着我，我终于用到他们了，矛头都指向我，看那架势要吃了我，感觉他们像报了仇一样大快人心，我有时候都想杀人,你真的很不易，我体会过这样的感觉 // 帅哥，方便的话可以关注我，我们进一步详细的交流 // 自己可以不当吗 // 你多大了。重担不能把人压垮， 负面心态还是正面才会对我们，有很大影响的。你说呢 // 你多大？父母为什么把你当成家长呢？ // 你有多大了？ // 通过咨询，可以帮助你不再被过去限定，过你想过的生活。我可以陪伴你面对。你愿意付费约我电话咨询吗？ // 亲，狠下心来，让他们学会成长，可以把自己的感受，和他们沟通 // 接受不能改变的，专注我们能改变。静心，看看哪些是自己能改变的。 // 你可以接纳这样的父母，让自己别有那么大的负担，尽量和他们和谐相处，做好自己，划清界限，让他们也学会自己成长 // 感觉您有种枯竭感，没有能量了，点击我的头像关注，电话或者图文咨询吧，我可以帮助您！ // 点击我头像，点击图文电话咨询，可详细咨询
1.3,女 单亲家庭，与母亲关系不和，想寻求一个可以解决的办法,医生您好，感谢你回复 // 一言难尽啊… // 我现在23岁 // 我冲了十块钱不能播电话 // 要多少钱才能回拨？ // 好了 // 我和我妈关系不好，没有感情，对我奶奶(她妈)一点也不尊重，恶言冲撞在家里从来都是我们退步容忍她，哪怕她不对她也不会认错退让，我从小爷爷奶奶拉扯大，为了家庭和睦奶奶不伤心不受伤害我一直忍让我妈，再过分我都尽量和平解决或者沉默，这些年我妈插足霸道的事越来越过分了，真想一走了之，可是放不下我爷爷奶奶 // 在家里说着说着就开始争吵…我们如果不闭嘴一直和她争她就一直自燃到摔东西动手 // 她并没有更年期… // 从她离婚到现在，谈了无数个男人…离婚后第一个男人，也是最久的一个，我经常被他性骚扰，长大了有一次争吵中说出，我妈非但没有惊吓到，而是说我骗人，还说如果是真的也怪不到我，这句话一直说了好几遍，还动手打了我…我恨透了她，几次想轻生想一走了之，但是我很爱我的爷爷奶奶，我不想让她们伤心难过 // 有没有什么办法既不伤爷爷奶奶的心也不会在和我妈有任何瓜葛,你现在多大？与母亲不和的原因是什么呢 // 需要的话 可点击头像关注 查看服务  我们电话详细咨询 // 嗯 你可以购买服务  相对优惠一些 // 我的服务列表  一般心理问题是五十元起步 // 美女，可以关注我，我们进一步私聊 // 看我给你的留言 退回一对一界面  点击图文咨询
1.3,"女,婚姻中没有过多的话题，不晓得怎么沟通，还要不要继续",一年,你们结婚多久了 // 给你留言了 // 结婚多长时间了？ // 不晓得怎么沟通的可以学着沟通。 // 你能说说 ，你在什么地方觉得不舒服吗 // 可以点我头像，点击图文咨询和我私聊 // 夫妻之间需要有共同的空间，需要学习沟通的技巧。 // 美女 // 你做的怎样 // 我可以帮你学会沟通，保证你的婚姻继续
1.3,"女,姐姐结婚把对象带回来过日子，父母同意的话我只能忍吗",我不想让姐姐结婚以后把她对象带回来过。这是我的家 我生活了20年的地方我不想来个陌生人 // 可是 父母同意的话 我又能怎么办 // 我有权利制止吗,你困惑什么呢？ // 理解你的纠结。可以点关注，图文咨询私聊。
1.3,"女,28岁,老公给不了生理满足也给不了物质满足，我该离婚吗",8年了 // 认识十年，感觉一直以来都是在忍受 // 结婚8年，相识十年 // 感觉一直以来都在忍受 // 绝得他对我好 // 也确实对我很好，生活中像爸爸一样的照顾我 // 可是我想要的男人不是这样的 // 他比我大6岁 // 我想要的决不是现在的生活，可是又顾及孩子和家人 // 所以好纠结,那能给你什么 // 很理解你 // 你们结婚多久了？ // 婚姻问题很复杂 // 愿意和我详细聊聊吗？我来帮你 // 给你留言了 // 当初选择他结婚是因为什么 // 非常理解的感受 // 你需要这种照顾吗 // 嗯嗯 // 很理解 // 他多大呢 // 想要的是怎样的 // 先明确自己更想要什么 // 美女 // 为什么我老婆和你一样大的就没能像你这么想
1.3,男 老婆老是要女儿不要爸爸，要只爱妈妈一个人，是什么原因,男 请问我老婆老是要女儿不要爸爸，要只爱妈妈一个人，是什么原因 // 孩子才4岁 // 不怎么孝敬 // 孩子还是听我话，只是想问问我老婆是不是有心理问题,女儿要妈妈不要爸爸？ // 老婆不孝敬吗？ // 你老婆担心你因为和孩子关系好而疏远她？ // 你们夫妻关系怎样？其中，对你是否又些不满呢？
