s1,beginning_description,following_from_self,following_from_others
1.3,"男,25岁,因为自身的事情，和爸妈闹不和，心情太烦，有些事情想不通",就是不管有什么事情爸妈看的太严重，说什么就是什么，一点不相信我， // 而且爸妈什么话都能说出来，让我承受不了 // 我想跑到外地 // 就是想出去一两年，然后再回来，看看能改变一点不,嗯，理解和父母吵架确实是会让我们不舒服的 // 可以具体说说 // 可以说说具体情况 // 能说说什么事情让你想不通？ // 微笑] // 学会理解父母 感恩父母。包容父母。点击头像我可以帮助你调整心态。从新审视自己 // 理解你的感受 // 被家长不信任管理的太严格没有主导权确实让人受不了，你有哪些打算？ // 你愿意改变这样的状态吗？ // 简单的逃避不是真正的解决问题 // 当然，确实可以那样，但是如果不和父母交代清楚，他们也会有更多的担心，会更糟糕怎么办呢？ // 你25了，是成年人了，需要和父母恰当的有效沟通去解决你们的一些问题 // 我可以帮你 // 如需要详细咨询可以点我头像，之后选择我的咨询服务，我们进一步探讨，以便于更好的帮你
1.3,女 老公给公公钱，但我们家也很穷，没车没房没存款，我该怎么办？,我不能接受 // 给1500 // 他和我很和的来 // 公公说家没钱了 // 请回答我好吗？谢谢！ // 啊,你不能接受老公这样做吗？ // 你当时为什么嫁给他呢 // 给对少 // 给多少 // 他给公公钱是否有什么原因呢？ // 离婚
1.3,女 老是跟婆婆吵架，看着婆婆对大媳妇那么好，我很生气，就吵架了,我孩子生病了不去照顾，回家还骂我，天天给他带小孩打麻将,你觉得婆婆偏心是吗？ // 很理解你 // 建议思考一下，为什么婆婆对大嫂好？ // 先别急 // 你的问题和我刚处理的一个案例很相似 // 愿意和我详细聊聊吗 // 你是林心？
1.3,"女,我该怎么做才能让我的老公在乎我！结婚4年了，有个儿子3岁半！",以前,提升自己，对老公更了解一些 // 你老公现在在乎你和以前在乎你比，哪个多点？ // 你觉得现在是因为什么会在乎少点呢？
1.3,女 我老公总是帮着他的酒肉朋友骂我，我受不了。现在我该怎么办？,我没有当他的朋友面指责他朋友，是他朋友教唆我老公打我骂我。而且我老公朋友也会讽刺我 // 我在我老公眼里都不去他的那些朋友 // 那我该怎么办？离开他吗？ // 各位给我点意见，我老公为了朋友的事都动手打了我两次，我快受不了了 // 以前我老公做什么事，我不管，现在有小孩有老人我不能不管，他又嫌我管的多，嫌我啰嗦。,你会指责他的酒肉朋友吗 // 显然老公把酒肉朋友和自己划上了等号 // 其中的链接你能理解吧 // 关键是老公  朋友也是看老公态度的 // 你跟老公朋友有什么摩擦？
1.3,"女,27岁,怀孕一年怀孕丈夫出轨，他有两个手机，另一个没让我知道。",另一手机回家就藏车里不让我知道。手机百度查询记录女性月经后几天是危险期。我12.8号大肚子，他查的这个内容。我问他手机他不承认，问他为什么查这个也不承认。 // 不承认。可是我已经证实 // 他就是不承认，说自己没有女人 // 手机也不承认，查询记录也说不知道 // 已经生了 // 一直对我很好，如果我没发现我没怀疑过他。 // 但自从发现有另一个手机，也就不舒服了,美女 // 那你现在有何打算？ // 如何诊断他出轨的 // 他自己是怎么解释的 // 理解你的心情，先照顾好自己，养胎重要 // 老公现在表现怎样 // 这个事情的确是对关系的一个警示 // 我建议你可以学习建设性的沟通方式和他交流感受和需要。我可以帮助您，欢迎您约我电话咨询讨论。如有需要请私信我 // 您想要得到什么样的结果呢？
1.3,女 我不喜欢和老公亲嘴为什么？要离婚了？很想很想离，又有点不舍,,不舍得是什么？ // 就因为不愿意亲嘴吗 // 你结婚多久了？ // 退到一对一界面看我给你的留言 // 不想听的原因是什么？想离婚的原因是什么？舍不得的原因又是什么呢？ // 不想亲的原因是什么？想离婚的原因是什么？舍不得的原因又是什么？ // 你们情感几年了，你很想很想离，他的态度呢？ // 你什么原因，不愿意呢？其他方面，你接纳老公吗 // 婚恋情感是老师最擅长的咨询方向，相信能够给您足够多有效的帮助，参与咨询中来老师和您一块面对目前这个困境，尽力帮助您好吗？
1.3,女 老公不理解我 我也不理解他怎么办  真不知道还能不能继续下去了,不知道该怎么办 // 感觉好累 // 好的谢谢,不理解是沟通交流的障碍 // 可以做个情感咨询 // 能继续下去，在这个节点上成长一下，就好了…不会再有这样的感觉。两个人分不清你我了，整体有混沌感… // 是的. // 可以电话深咨询调整 // 可以选择老师一对一讲讲你们之间都发生了些什么，然后老师会给出具体的指导和建议，那样更有利于解决你的困扰，如有需要，可以预约我的电话咨询！ // 结婚几年了？你们
1.3,老公打我，做月子都打我。都是因为他家人生气，开始吵架，到他动手,,你想问什么呢？ // 你多大年龄？ // 太过分 // 维权 // 老公第一次打你，是因为什么呢 // 你现在要先解决什么？其实要解决被打的问题，关键是要分析是什么激起老公的打人的手， // 你们之间发生了什么不舒服的事情吗 // 家庭矛盾引起的家庭暴力，需要从家庭关系上进行调整。 // 美女
1.3,女 我谈了一个男朋友，家人死活不同意，我现在好烦，不知道该怎么办,我家人闲他个子矮长的太成熟太老了，我1米75的个子，我男朋友才1米62我比他高了一头，还有我和我男朋友家离的很远，我妈就我一个女儿不想让我嫁这么远还有我家人闲他家太穷，我男朋友现在在家也沒什么正经的工作，我家人老传统老思想我叫我男朋友领回家我家人不让说我把他领回来丢人，他我比我矮那么多走在一块不好看，又害怕领居说我找了个男朋友怎么长这么难看， // 我家人叫我在家相亲，叫我在家找一个说在家找一个知根知底的，我沒办法我听我家人的今年在家相亲相了一个，这个男孩对我挺好的，但是我不喜欢他，我喜欢的是我谈了两年半男朋友，我家人非要我现在就给家里这个相亲这个男孩结婚但我不喜欢他我不想给他结婚，我该怎么办 // 在吗 // 我打工谈了一个男朋友，家人不同意我该怎么办 // 不论白天睡觉还是晚上睡觉，睡醒了以后心里很害怕很害怕，好长时间过不来，而且睡觉的时候光做梦，是不是得了抑郁症呀？,美女 // 具体说说，不同意他哪里？ // 经营恋爱情感是一门学问，需要用心也需要智慧，否则容易出现各种矛盾和问题。如果需要深入系统的咨询辅导，可以点击我的头像预约正式咨询，以便我们更好的帮您。 // 陈志显老师你这是？ // 分手吧！
